,movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%,movie_type
193,Alvin and the Chipmunks: Chipwrecked,87.0,"Adventure,Animation,Comedy",4.4,28158,80000000,133107389,349088523,269088523,3.3636065375,Light
195,Super 8,112.0,"Mystery,Sci-Fi,Thriller",7.0,320575,50000000,127004179,257972745,207972745,4.1594549,Dark
202,Fantastic Beasts: The Crimes of Grindelwald,134.0,"Adventure,Family,Fantasy",6.6,163151,200000000,159555901,652220086,452220086,2.26110043,Light
210,The Ghost Writer,128.0,"Drama,Mystery,Thriller",7.2,148274,45000000,15541549,65532491,20532491,0.4562775777777778,Dark
211,The Bourne Legacy,135.0,"Action,Adventure,Thriller",6.7,268678,125000000,113203870,280355920,155355920,1.24284736,Dark
212,Limitless,105.0,"Mystery,Sci-Fi,Thriller",7.4,492490,27000000,79249455,155564919,128564919,4.761663666666666,Dark
213,Broken City,109.0,"Crime,Drama,Thriller",6.2,71704,35000000,19701164,34480045,-519955,-0.014855857142857143,Dark
215,Bullet to the Head,92.0,"Action,Crime,Thriller",5.7,44816,55000000,9489829,22597969,-32402031,-0.5891278363636364,Dark
219,Unknown,113.0,"Action,Mystery,Thriller",6.9,235167,40000000,63686397,136123083,96123083,2.403077075,Dark
221,Happy Feet Two,100.0,"Adventure,Animation,Comedy",5.9,38396,135000000,64006466,157956466,22956466,0.1700478962962963,Light
222,The Apparition,83.0,"Horror,Thriller",4.1,18112,17000000,4936819,10637281,-6362719,-0.3742775882352941,Dark
223,Buried,95.0,"Drama,Mystery,Thriller",7.0,139426,1987650,1044143,21270290,19282640,9.701225064774986,Dark
227,Texas Chainsaw 3D,92.0,"Horror,Thriller",4.8,41784,20000000,34341945,47666013,27666013,1.38330065,Dark
229,Prom,104.0,"Comedy,Drama,Family",5.4,14279,8000000,10130219,10763183,2763183,0.345397875,Light
232,Red Lights,114.0,"Drama,Fantasy,Horror",6.2,55287,17700000,49521,14518884,-3181116,-0.17972406779661018,Dark
234,The Purge: Election Year,108.0,"Action,Horror,Sci-Fi",6.0,80254,10000000,79042440,118514727,108514727,10.8514727,Dark
236,Meet the Blacks,94.0,"Comedy,Horror",5.9,34669,900000,9097072,9097072,8197072,9.107857777777777,Dark
238,Lights Out,81.0,"Drama,Horror,Mystery",6.3,100650,5000000,67268835,148806510,143806510,28.761302,Dark
242,The 15:17 to Paris,94.0,"Biography,Drama,Thriller",5.2,21880,30000000,36276286,56096200,26096200,0.8698733333333334,Dark
247,The Dark Knight Rises,164.0,"Action,Thriller",8.4,1387769,275000000,448139099,1084439099,809439099,2.9434149054545453,Dark
249,Paranoia,106.0,"Drama,Thriller",5.7,33149,40000000,7388654,16340767,-23659233,-0.591480825,Dark
250,Haywire,93.0,"Action,Drama,Thriller",5.8,78681,23000000,18942396,36374700,13374700,0.5815086956521739,Dark
252,Paranormal Activity 2,91.0,Horror,5.7,93122,3000000,84752907,177512032,174512032,58.17067733333333,Dark
255,The Hit List,90.0,"Action,Thriller",5.4,11081,6000000,0,0,-6000000,-1.0,Dark
258,Paranormal Activity 3,83.0,"Horror,Mystery,Thriller",5.8,85689,5000000,104028807,207039844,202039844,40.4079688,Dark
263,The Boss Baby,97.0,"Adventure,Animation,Comedy",6.3,93730,125000000,175003033,510878762,385878762,3.087030096,Light
266,Icarus,120.0,"Documentary,Sport,Thriller",7.9,28979,6000000,0,0,-6000000,-1.0,Dark
267,Tangled,100.0,"Adventure,Animation,Comedy",7.8,366366,260000000,200821936,586477240,326477240,1.2556816923076923,Light
270,The Smurfs,103.0,"Adventure,Animation,Comedy",5.5,77577,110000000,142614158,563749323,453749323,4.124993845454545,Light
271,Unstoppable,98.0,"Action,Thriller",6.8,173019,95000000,81562942,165720921,70720921,0.7444307473684211,Dark
272,Legion,100.0,"Action,Fantasy,Horror",5.2,92709,26000000,40168080,67647574,41647574,1.6018297692307693,Dark
274,It Comes at Night,91.0,"Horror,Mystery",6.2,69039,5000000,13985117,19720203,14720203,2.9440406,Dark
277,The First Purge,98.0,"Action,Horror,Sci-Fi",5.1,41741,13000000,69488745,136617305,123617305,9.509023461538462,Dark
281,My Soul to Take,107.0,"Horror,Mystery,Thriller",4.8,18381,25000000,14744435,16727470,-8272530,-0.3309012,Dark
283,Salt,100.0,"Action,Mystery,Thriller",6.4,277204,130000000,118311368,290650494,160650494,1.2357730307692307,Dark
284,The Sorcerer's Apprentice,109.0,"Action,Adventure,Family",6.1,143862,160000000,63150991,217986320,57986320,0.3624145,Light
285,Chernobyl Diaries,86.0,"Horror,Mystery,Thriller",5.0,60304,1000000,18119640,42411721,41411721,41.411721,Dark
286,Antiviral,108.0,"Horror,Sci-Fi,Thriller",5.7,11025,3100000,0,123407,-2976593,-0.9601912903225807,Dark
294,The BFG,117.0,"Adventure,Family,Fantasy",6.4,69340,140000000,55483770,199646680,59646680,0.4260477142857143,Light
301,Shrek Forever After,93.0,"Adventure,Animation,Comedy",6.3,167532,165000000,238736787,756244673,591244673,3.5833010484848486,Light
302,The Thing,103.0,"Horror,Mystery,Sci-Fi",6.2,111900,38000000,16999934,27573078,-10426922,-0.2743926842105263,Dark
304,Alice in Wonderland,108.0,"Adventure,Family,Fantasy",6.5,358813,200000000,334191110,1025491110,825491110,4.12745555,Light
306,Ghost Rider: Spirit of Vengeance,96.0,"Action,Fantasy,Thriller",4.3,103608,57000000,51774002,149217355,92217355,1.6178483333333333,Dark
307,Diary of a Wimpy Kid: Dog Days,94.0,"Comedy,Family",6.3,19571,22000000,49008662,77229695,55229695,2.510440681818182,Light
312,Yeh Jawaani Hai Deewani,160.0,"Comedy,Drama,Musical",7.1,33971,8300000,3827466,50827466,42527466,5.123791084337349,Light
319,Dolphin Tale 2,107.0,"Drama,Family",6.4,7579,36000000,42024533,57824533,21824533,0.6062370277777778,Light
320,The Boy Next Door,91.0,"Horror,Thriller",4.7,34816,4000000,36006065,53401938,49401938,12.3504845,Dark
329,How to Train Your Dragon,98.0,"Action,Adventure,Animation",8.1,611299,165000000,217581232,494870992,329870992,1.9992181333333334,Light
330,The East,116.0,"Adventure,Drama,Thriller",6.8,46804,6500000,2274649,3027956,-3472044,-0.5341606153846153,Dark
331,Exeter,91.0,"Horror,Mystery,Thriller",4.5,5156,25000,0,489792,464792,18.59168,Dark
342,The Babadook,94.0,"Drama,Horror",6.8,171411,2000000,950792,7482387,5482387,2.7411935,Dark
