movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Dolphin Tale 2,107.0,"Drama,Family",6.4,7579,36000000,42024533,57824533,21824533,0.6062370277777778
Risen,107.0,"Action,Adventure,Drama",6.3,22813,20000000,36880033,46255763,26255763,1.31278815
Legend,132.0,"Biography,Crime,Drama",7.0,138947,25000000,15502112,23506237,-1493763,-0.05975052
My All-American,118.0,"Biography,Drama,Sport",7.2,5058,20000000,2246000,2246000,-17754000,-0.8877
Lion,118.0,"Biography,Drama",8.1,181601,12000000,51739495,149570720,137570720,11.464226666666667
The East,116.0,"Adventure,Drama,Thriller",6.8,46804,6500000,2274649,3027956,-3472044,-0.5341606153846153
Rush,123.0,"Action,Biography,Drama",8.1,393437,38000000,26947624,98230839,60230839,1.5850220789473684
The Finest Hours,117.0,"Action,Drama,History",6.8,55981,70000000,27569558,49252761,-20747239,-0.2963891285714286
The Final Girls,88.0,"Comedy,Drama,Fantasy",6.6,30219,4500000,0,0,-4500000,-1.0
St. Vincent,102.0,"Comedy,Drama",7.3,89372,13000000,44137712,54837234,41837234,3.2182487692307693
Wild,115.0,"Adventure,Biography,Drama",7.1,110138,15000000,37880356,52460543,37460543,2.4973695333333334
Endless Love,104.0,"Drama,Romance",6.3,37869,20000000,23438250,34718173,14718173,0.73590865
The Babadook,94.0,"Drama,Horror",6.8,171411,2000000,950792,7482387,5482387,2.7411935
Unfinished Business,91.0,"Comedy,Drama",5.4,29004,35000000,10219501,13214051,-21785949,-0.6224556857142857
Lost River,95.0,"Drama,Fantasy,Mystery",5.8,15667,2000000,45431,2009644,9644,0.004822
Carol,118.0,"Drama,Romance",7.2,100680,11800000,12711491,42843521,31043521,2.6308068644067797
Black or White,121.0,Drama,6.6,10659,9000000,21571189,21971021,12971021,1.4412245555555556
Mommy,139.0,Drama,8.1,43020,4900000,3498695,17536004,12636004,2.5787763265306123
The Girl on the Train,112.0,"Crime,Drama,Mystery",6.5,150977,45000000,75395035,174278214,129278214,2.8728492
Swiss Army Man,97.0,"Adventure,Comedy,Drama",7.0,91736,3000000,4210454,5837111,2837111,0.9457036666666667
Collateral Beauty,97.0,"Drama,Romance",6.8,78764,36000000,31016021,85309093,49309093,1.3696970277777778
The Shape of Water,123.0,"Adventure,Drama,Fantasy",7.3,308112,19500000,63859435,195790794,176290794,9.040553538461538
