movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
San Andreas,114.0,"Action,Adventure,Drama",6.1,192750,110000000,155190832,456258539,346258539,3.1478049
The BFG,117.0,"Adventure,Family,Fantasy",6.4,69340,140000000,55483770,199646680,59646680,0.4260477142857143
Bumblebee,114.0,"Action,Adventure,Sci-Fi",6.9,94155,102000000,127195589,465195589,363195589,3.560741068627451
Ant-Man and the Wasp,118.0,"Action,Adventure,Comedy",7.1,244024,130000000,216648740,623144660,493144660,3.7934204615384615
Shrek Forever After,93.0,"Adventure,Animation,Comedy",6.3,167532,165000000,238736787,756244673,591244673,3.5833010484848486
Alice in Wonderland,108.0,"Adventure,Family,Fantasy",6.5,358813,200000000,334191110,1025491110,825491110,4.12745555
Into the Storm,89.0,"Action,Adventure,Drama",5.8,60894,50000000,47602194,150429371,100429371,2.00858742
Batman v Superman: Dawn of Justice,151.0,"Action,Adventure,Fantasy",6.5,576909,250000000,330360194,867500281,617500281,2.470001124
Risen,107.0,"Action,Adventure,Drama",6.3,22813,20000000,36880033,46255763,26255763,1.31278815
Solo: A Star Wars Story,135.0,"Action,Adventure,Fantasy",7.0,226243,275000000,213767512,393151347,118151347,0.4296412618181818
Thor,115.0,"Action,Adventure,Fantasy",7.0,683264,150000000,181030624,449326618,299326618,1.9955107866666666
Priest,87.0,"Action,Adventure,Fantasy",5.7,108320,60000000,29136626,84154026,24154026,0.4025671
How to Train Your Dragon,98.0,"Action,Adventure,Animation",8.1,611299,165000000,217581232,494870992,329870992,1.9992181333333334
The East,116.0,"Adventure,Drama,Thriller",6.8,46804,6500000,2274649,3027956,-3472044,-0.5341606153846153
Dumb and Dumber To,109.0,"Adventure,Comedy",5.6,118646,40000000,86208010,156553592,116553592,2.9138398
Muppets Most Wanted,107.0,"Adventure,Comedy,Crime",6.4,29018,55000000,51178893,79312301,24312301,0.44204183636363636
Wild,115.0,"Adventure,Biography,Drama",7.1,110138,15000000,37880356,52460543,37460543,2.4973695333333334
Gods of Egypt,127.0,"Action,Adventure,Fantasy",5.4,95111,140000000,31153464,138836756,-1163244,-0.008308885714285714
Ferdinand,108.0,"Adventure,Animation,Comedy",6.7,40229,111000000,84410380,289847930,178847930,1.6112426126126127
Kong: Skull Island,118.0,"Action,Adventure,Fantasy",6.6,237720,185000000,168052812,561072059,376072059,2.0328219405405403
Swiss Army Man,97.0,"Adventure,Comedy,Drama",7.0,91736,3000000,4210454,5837111,2837111,0.9457036666666667
The Shape of Water,123.0,"Adventure,Drama,Fantasy",7.3,308112,19500000,63859435,195790794,176290794,9.040553538461538
Puss in Boots,90.0,"Action,Adventure,Animation",6.6,133355,130000000,149260504,554987477,424987477,3.2691344384615384
Get Him to the Greek,109.0,"Adventure,Comedy,Music",6.4,161653,40000000,61153526,91455875,51455875,1.286396875
Goosebumps,103.0,"Adventure,Comedy,Family",6.3,72858,58000000,80069458,158905324,100905324,1.7397469655172413
Green Lantern,114.0,"Action,Adventure,Sci-Fi",5.5,252281,200000000,116601172,219535492,19535492,0.09767746
The Hobbit: The Desolation of Smaug,161.0,"Adventure,Fantasy",7.8,565563,250000000,258366855,960366855,710366855,2.84146742
Gulliver's Travels,85.0,"Adventure,Comedy,Family",4.9,61178,112000000,42779261,232017848,120017848,1.0715879285714285
47 Ronin,128.0,"Action,Adventure,Drama",6.3,135754,175000000,38362475,151716815,-23283185,-0.13304677142857144
Bait,93.0,"Action,Adventure,Drama",5.2,14627,35000000,15325127,15471969,-19528031,-0.5579437428571429
The Emoji Movie,86.0,"Adventure,Animation,Comedy",3.2,47294,50000000,86089513,216562312,166562312,3.33124624
Ramona and Beezus,103.0,"Adventure,Comedy,Family",6.6,16086,15000000,26167002,27469621,12469621,0.8313080666666667
The Incredible Burt Wonderstone,100.0,"Adventure,Comedy,Fantasy",5.9,67549,32000000,22537881,27392609,-4607391,-0.14398096875
R.I.P.D.,96.0,"Action,Adventure,Comedy",5.6,109078,130000000,33618855,79076678,-50923322,-0.39171786153846155
Epic,102.0,"Adventure,Animation,Family",6.7,95318,100000000,107518682,262794441,162794441,1.62794441
Hugo,126.0,"Adventure,Drama,Family",7.5,284869,180000000,73864507,180047784,47784,0.00026546666666666665
