movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Fair Game,108.0,"Biography,Drama,Thriller",6.8,43862,50000000,11497497,26097497,-23902503,-0.47805006
In the Heart of the Sea,122.0,"Action,Adventure,Biography",6.9,108628,100000000,25020758,89693309,-10306691,-0.10306691
Hands of Stone,111.0,"Action,Biography,Drama",6.6,12851,20000000,4712792,5031975,-14968025,-0.74840125
A Dangerous Method,99.0,"Biography,Drama,Romance",6.4,93259,20000000,5702083,14807531,-5192469,-0.25962345
The Big Short,130.0,"Biography,Comedy,Drama",7.8,309227,28000000,70259870,133162752,105162752,3.7558125714285713
The Fifth Estate,128.0,"Biography,Drama,Thriller",6.2,36392,26000000,3254172,6154172,-19845828,-0.7633010769230769
Mary Queen of Scots,124.0,"Biography,Drama,History",6.3,23866,25000000,16468499,46734733,21734733,0.86938932
Thank You for Your Service,109.0,"Biography,Drama,War",6.5,10006,20000000,9479390,9985316,-10014684,-0.5007342
Race,134.0,"Biography,Drama,Sport",7.1,30777,5000000,19115191,23745772,18745772,3.7491544
Unplanned,106.0,"Biography,Drama",6.3,5945,6000000,18107621,18107621,12107621,2.017936833333333
The Theory of Everything,123.0,"Biography,Drama,Romance",7.7,361534,15000000,35893537,123327692,108327692,7.221846133333333
The Disaster Artist,104.0,"Biography,Comedy,Drama",7.4,111737,10000000,21120616,28717667,18717667,1.8717667
Dallas Buyers Club,117.0,"Biography,Drama",8.0,402462,5000000,27298285,60611845,55611845,11.122369
Machine Gun Preacher,129.0,"Action,Biography,Crime",6.8,60074,30000000,538690,3721988,-26278012,-0.8759337333333334
Million Dollar Arm,124.0,"Biography,Drama,Sport",7.0,41008,25000000,36447959,39217912,14217912,0.56871648
All Eyez on Me,139.0,"Biography,Drama,Music",5.8,18541,45000000,44922302,54876855,9876855,0.21948566666666666
"I, Tonya",120.0,"Biography,Comedy,Drama",7.5,141668,11000000,30014534,53797409,42797409,3.8906735454545456
Hacksaw Ridge,139.0,"Biography,Drama,History",8.1,366904,40000000,67209615,168904682,128904682,3.22261705
Red Dog,92.0,"Biography,Comedy,Drama",7.4,15357,9100000,0,20927794,11827794,1.2997575824175824
Everest,121.0,"Action,Adventure,Biography",7.1,181133,65000000,43482270,221297061,156297061,2.404570169230769
Son of God,138.0,"Biography,Drama,History",5.8,17606,22000000,59700064,70949793,48949793,2.224990590909091
Genius,104.0,"Biography,Drama",6.6,15611,17000000,1361045,7265283,-9734717,-0.5726304117647059
Bernie,99.0,"Biography,Comedy,Crime",6.8,53765,6000000,9204489,10106975,4106975,0.6844958333333333
Bohemian Rhapsody,134.0,"Biography,Drama,Music",8.0,345466,55000000,216303339,894985342,839985342,15.272460763636364
Miracles from Heaven,109.0,"Biography,Drama,Family",7.1,17734,13000000,61705123,73798736,60798736,4.6768258461538466
The Professor and the Madman,124.0,"Biography,Drama,Mystery",7.4,10383,25000000,0,5227233,-19772767,-0.79091068
Kill the Irishman,106.0,"Biography,Crime,Drama",7.1,41504,12000000,1188194,1188194,-10811806,-0.9009838333333333
Stronger,119.0,"Biography,Drama",7.0,33464,30000000,4211129,8786752,-21213248,-0.7071082666666667
Testament of Youth,129.0,"Biography,Drama,History",7.3,23632,10000000,1822250,6646669,-3353331,-0.3353331
Battle of the Sexes,121.0,"Biography,Comedy,Drama",6.7,43245,25000000,12638526,18445379,-6554621,-0.26218484
Denial,109.0,"Biography,Drama",6.7,16593,10000000,4073448,9263940,-736060,-0.073606
