movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Phantom,98.0,"Drama,History,Thriller",5.9,12786,18000000,1034589,1199510,-16800490,-0.9333605555555555
Phantom,136.0,"Action,Drama,Thriller",5.8,7739,18000000,1034589,1199510,-16800490,-0.9333605555555555
Eye in the Sky,102.0,"Drama,Thriller,War",7.3,72301,13000000,18704596,35402802,22402802,1.7232924615384615
Taken 3,108.0,"Action,Thriller",6.0,165072,48000000,89256424,327656424,279656424,5.8261755
Paranormal Activity: The Marked Ones,84.0,"Horror,Mystery,Thriller",5.0,37147,5000000,32462372,90904854,85904854,17.1809708
The Town,125.0,"Crime,Drama,Thriller",7.6,322524,37000000,92186262,152566881,115566881,3.1234292162162163
Hanna,111.0,"Action,Drama,Thriller",6.8,179178,30000000,40259119,65343694,35343694,1.1781231333333333
The Conjuring,112.0,"Horror,Mystery,Thriller",7.5,397233,20000000,137400141,318000141,298000141,14.90000705
Fast Five,130.0,"Action,Crime,Thriller",7.3,329892,125000000,210031325,630163454,505163454,4.041307632
Colombiana,108.0,"Action,Drama,Thriller",6.4,87659,40000000,36665854,72295262,32295262,0.80738155
Zero Dark Thirty,157.0,"Drama,Thriller",7.4,251072,52500000,95720716,134612435,82112435,1.564046380952381
American Assassin,112.0,"Action,Thriller",6.2,57793,63000000,36249674,68310140,5310140,0.0842879365079365
A Most Wanted Man,122.0,"Crime,Drama,Thriller",6.8,67914,15000000,17237855,36068890,21068890,1.4045926666666666
Paranormal Activity 4,88.0,"Horror,Mystery,Thriller",4.6,58408,5000000,53900335,142817992,137817992,27.5635984
Fifty Shades of Grey,125.0,"Drama,Romance,Thriller",4.1,279126,40000000,166167230,570998101,530998101,13.274952525
Strangerland,112.0,"Drama,Mystery,Thriller",5.2,7999,10000000,17472,161097,-9838903,-0.9838903
Frontera,103.0,"Drama,Thriller,Western",6.6,6861,2300000,59696,59696,-2240304,-0.9740452173913043
The Neon Demon,117.0,"Horror,Thriller",6.2,72359,7500000,1333124,3559803,-3940197,-0.5253596
Banshee Chapter,87.0,"Horror,Sci-Fi,Thriller",5.5,8219,950000,0,78122,-871878,-0.9177663157894737
The Disappointments Room,85.0,"Drama,Horror,Thriller",3.9,8167,15000000,2423467,3503761,-11496239,-0.7664159333333334
Shut In,91.0,"Drama,Mystery,Thriller",4.7,11030,10000000,6900335,11360665,1360665,0.1360665
Room,118.0,"Drama,Thriller",8.2,316791,13000000,14677674,36262783,23262783,1.7894448461538461
Heist,93.0,"Action,Crime,Thriller",6.1,24740,35000000,23483357,28906817,-6093183,-0.17409094285714286
Dhoom 3,172.0,"Action,Thriller",5.4,40466,24000000,8031955,11723620,-12276380,-0.5115158333333333
The Imitation Game,114.0,"Biography,Drama,Thriller",8.0,620834,15000000,91125143,227740463,212740463,14.182697533333334
The November Man,108.0,"Action,Crime,Thriller",6.3,59293,15000000,25018119,34820335,19820335,1.3213556666666666
Annabelle,99.0,"Horror,Mystery,Thriller",5.4,122039,6500000,84273813,256862920,250362920,38.517372307692305
Replicas,107.0,"Drama,Sci-Fi,Thriller",5.4,17336,4000000,0,0,-4000000,-1.0
Sanctum,108.0,"Adventure,Drama,Thriller",5.9,51318,30000000,23209310,108957098,78957098,2.631903266666667
Parker,118.0,"Action,Crime,Thriller",6.2,105529,35000000,17616641,48543388,13543388,0.38695394285714285
The Reluctant Fundamentalist,130.0,"Drama,Thriller",6.9,12511,15000000,528731,528731,-14471269,-0.9647512666666667
The Gambler,111.0,"Crime,Drama,Thriller",6.0,59995,25000000,33680992,38718031,13718031,0.54872124
The Counselor,117.0,"Crime,Drama,Thriller",5.3,92096,25000000,16973715,71009334,46009334,1.84037336
Runner Runner,88.0,"Crime,Thriller",5.6,58235,30000000,19316646,60512680,30512680,1.0170893333333333
London Has Fallen,99.0,"Action,Thriller",5.9,124757,60000000,62524260,195194085,135194085,2.25323475
Nurse 3D,84.0,"Horror,Thriller",4.6,8768,10000000,0,0,-10000000,-1.0
Nightcrawler,117.0,"Crime,Drama,Thriller",7.9,404476,8500000,32381218,50334418,41834418,4.921696235294117
Fifty Shades Freed,105.0,"Drama,Romance,Thriller",4.5,43893,55000000,100407760,371350619,316350619,5.751829436363637
Mile 22,94.0,"Action,Adventure,Thriller",6.1,47862,35000000,36108758,66295121,31295121,0.8941463142857143
Snitch,112.0,"Action,Drama,Thriller",6.5,78142,15000000,42930462,57907734,42907734,2.8605156
Argo,120.0,"Biography,Drama,Thriller",7.7,534683,44500000,136025503,227140757,182640757,4.104286674157303
Jason Bourne,123.0,"Action,Thriller",6.6,190596,120000000,162192920,416168316,296168316,2.4680693
Get Out,104.0,"Horror,Mystery,Thriller",7.7,400474,5000000,176040665,255367951,250367951,50.0735902
Black Swan,108.0,"Drama,Thriller",8.0,648854,13000000,106954678,331266710,318266710,24.482054615384616
Enter Nowhere,90.0,"Mystery,Sci-Fi,Thriller",6.6,7298,500000,0,0,-500000,-1.0
The Collection,82.0,"Action,Horror,Thriller",6.1,42256,10000000,6810754,8890094,-1109906,-0.1109906
Maze Runner: The Scorch Trials,131.0,"Action,Sci-Fi,Thriller",6.3,201143,61000000,81697192,310566162,249566162,4.09124855737705
The Prodigy,92.0,"Horror,Thriller",5.9,11456,6000000,14856291,19789712,13789712,2.2982853333333333
Hush,82.0,"Horror,Thriller",6.6,79100,1000000,0,0,-1000000,-1.0
Happy Death Day,96.0,"Horror,Mystery,Thriller",6.5,87132,5000000,55683845,125010260,120010260,24.002052
Sinister,110.0,"Horror,Mystery,Thriller",6.8,198345,3000000,48086903,87727807,84727807,28.242602333333334
Alien: Covenant,122.0,"Horror,Sci-Fi,Thriller",6.4,226920,97000000,74262031,238521247,141521247,1.4589819278350515
Blue Ruin,90.0,"Crime,Drama,Thriller",7.1,58811,420000,258384,437002,17002,0.04048095238095238
Deliver Us from Evil,118.0,"Horror,Mystery,Thriller",6.2,63793,30000000,30577122,87956618,57956618,1.9318872666666667
John Wick,101.0,"Action,Crime,Thriller",7.4,449942,30000000,43037835,76235001,46235001,1.5411667
The A-Team,117.0,"Action,Adventure,Thriller",6.8,235256,110000000,77222099,177241171,67241171,0.6112833727272727
The Gallows,81.0,"Horror,Mystery,Thriller",4.2,17763,100000,22764410,41656474,41556474,415.56474
Spectre,148.0,"Action,Adventure,Thriller",6.8,352504,300000000,200074175,879620923,579620923,1.9320697433333334
I Spit on Your Grave,108.0,"Horror,Thriller",6.3,68592,1750000,93051,1278471,-471529,-0.2694451428571429
Evil Dead,91.0,"Fantasy,Horror,Thriller",6.5,146399,17000000,54239856,97778356,80778356,4.751668
Gravity,91.0,"Drama,Sci-Fi,Thriller",7.7,710018,110000000,274092705,693698673,583698673,5.306351572727273
The Last Stand,107.0,"Action,Thriller",6.4,126623,30000000,12050299,48330757,18330757,0.6110252333333334
Chronicle,84.0,"Drama,Sci-Fi,Thriller",7.1,229258,12000000,64575175,123681790,111681790,9.306815833333333
The Gift,108.0,"Drama,Mystery,Thriller",7.1,123834,10000000,12008642,44567606,34567606,3.4567606
Robin Hood,116.0,"Action,Adventure,Thriller",5.3,41588,210000000,105487148,322459006,112459006,0.5355190761904762
The Crazies,101.0,"Horror,Thriller",6.5,104465,19000000,39123589,56445534,37445534,1.9708175789473685
Sin City: A Dame to Kill For,102.0,"Crime,Thriller",6.5,140666,65000000,13757804,40650842,-24349158,-0.3746024307692308
The Adjustment Bureau,106.0,"Romance,Sci-Fi,Thriller",7.1,227616,50200000,62495645,126931325,76731325,1.5285124501992031
Widows,129.0,"Crime,Drama,Thriller",7.0,61615,40000000,42402632,73866088,33866088,0.8466522
Annabelle: Creation,109.0,"Horror,Mystery,Thriller",6.5,90402,15000000,102092201,305384865,290384865,19.358991
The Possession,92.0,"Horror,Mystery,Thriller",5.9,53649,14000000,49130588,82925064,68925064,4.9232188571428575
The Mule,116.0,"Crime,Drama,Thriller",7.1,58955,50000000,103804407,170857676,120857676,2.41715352
Money Monster,98.0,"Crime,Drama,Thriller",6.5,86607,27000000,41012075,93466095,66466095,2.461707222222222
Homefront,100.0,"Action,Thriller",6.5,98549,22000000,20158492,51695362,29695362,1.3497891818181817
Takers,107.0,"Action,Crime,Thriller",6.2,53377,32000000,57744720,70587268,38587268,1.205852125
Monsters,94.0,"Drama,Sci-Fi,Thriller",6.4,84332,500000,237301,5639730,5139730,10.27946
The Expendables 2,103.0,"Action,Adventure,Thriller",6.6,277584,100000000,85028192,311979256,211979256,2.11979256
Skyfall,143.0,"Action,Adventure,Thriller",7.8,592221,200000000,304360277,1110526981,910526981,4.552634905
The Tourist,103.0,"Action,Adventure,Thriller",6.0,206714,100000000,67631157,278731369,178731369,1.78731369
Anonymous,130.0,"Drama,Thriller",6.9,37932,27500000,4463292,15815509,-11684491,-0.42489058181818185
Lockout,95.0,"Action,Sci-Fi,Thriller",6.1,89554,20000000,14326865,33943049,13943049,0.69715245
Knock Knock,99.0,"Drama,Thriller",4.9,68328,2000000,36336,6328516,4328516,2.164258
Captive State,109.0,"Sci-Fi,Thriller",6.9,28780,25000000,5958315,8993300,-16006700,-0.640268
Blackhat,133.0,"Action,Crime,Thriller",5.4,48427,70000000,8005980,19665004,-50334996,-0.7190713714285715
Fair Game,108.0,"Biography,Drama,Thriller",6.8,43862,50000000,11497497,26097497,-23902503,-0.47805006
Poltergeist,93.0,"Horror,Thriller",4.9,51538,35000000,47425125,95713069,60713069,1.7346591142857142
xXx: Return of Xander Cage,107.0,"Action,Adventure,Thriller",5.2,77976,85000000,44898413,345033359,260033359,3.059215988235294
It,135.0,"Horror,Thriller",7.4,359123,35000000,327481748,697457969,662457969,18.927370542857144
Killer Elite,116.0,"Action,Crime,Thriller",6.5,117711,70000000,25124986,65409046,-4590954,-0.06558505714285714
Insidious,103.0,"Horror,Mystery,Thriller",6.9,254197,1500000,54009150,99870886,98370886,65.58059066666667
