,movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%,movie_type
690,Hotel Transylvania 3: Summer Vacation,97.0,"Adventure,Animation,Comedy",6.3,42299,65000000,167500092,527079962,462079962,7.108922492307692,Light
705,Zambezia,83.0,"Adventure,Animation,Comedy",5.8,6010,20000000,0,34454336,14454336,0.7227168,Light
727,Peter Rabbit,95.0,"Adventure,Animation,Comedy",6.6,27908,50000000,115234093,347136477,297136477,5.94272954,Light
732,Aladdin,128.0,"Adventure,Comedy,Family",7.4,57549,182000000,246734314,619234314,437234314,2.4023863406593406,Light
743,Storks,87.0,"Adventure,Animation,Comedy",6.8,50448,70000000,72679278,183353431,113353431,1.6193347285714286,Light
745,The Illusionist,80.0,"Animation,Drama",7.5,31734,16500000,39868642,83792062,67292062,4.0783067878787875,Light
747,The Nut Job,85.0,"Adventure,Animation,Comedy",5.7,24587,30000000,64251538,122529966,92529966,3.0843322,Light
753,The Angry Birds Movie,97.0,"Action,Animation,Comedy",6.3,69624,73000000,107509366,352327887,279327887,3.826409410958904,Light
758,Coco,105.0,"Adventure,Animation,Comedy",8.4,277194,175000000,209726015,798008101,623008101,3.5600462914285713,Light
762,The Peanuts Movie,88.0,"Adventure,Animation,Comedy",7.1,39149,99000000,130178411,250091610,151091610,1.5261778787878788,Light
769,Secretariat,123.0,"Biography,Drama,Family",7.2,24536,35000000,59699513,60376247,25376247,0.7250356285714286,Light
772,Cars 2,106.0,"Adventure,Animation,Comedy",6.2,138914,200000000,191450875,560155383,360155383,1.800776915,Light
778,Free Birds,91.0,"Adventure,Animation,Comedy",5.9,20934,55000000,55750480,110387072,55387072,1.0070376727272727,Light
783,Percy Jackson: Sea of Monsters,106.0,"Adventure,Family,Fantasy",5.8,102313,90000000,68559554,200859554,110859554,1.2317728222222222,Light
789,Captain Underpants: The First Epic Movie,89.0,"Action,Animation,Comedy",6.2,21903,38000000,73921000,126577874,88577874,2.3309966842105263,Light
