movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
"I, Frankenstein",92.0,"Action,Fantasy,Horror",5.1,74910,65000000,19075290,74575290,9575290,0.14731215384615384
Red Riding Hood,100.0,"Fantasy,Horror,Mystery",5.5,102369,42000000,37662162,91678442,49678442,1.1828200476190476
What Men Want,117.0,"Comedy,Fantasy,Romance",4.9,10141,20000000,54611903,69911903,49911903,2.49559515
Alice Through the Looking Glass,113.0,"Adventure,Family,Fantasy",6.2,79951,170000000,77042381,276928112,106928112,0.628988894117647
Beastly,86.0,"Drama,Fantasy,Romance",5.6,72599,17000000,27865571,38028230,21028230,1.236954705882353
Suicide Squad,123.0,"Action,Adventure,Fantasy",6.0,533039,175000000,325100054,746059887,571059887,3.2631993542857143
A Wrinkle in Time,109.0,"Adventure,Family,Fantasy",4.2,34888,103000000,100478608,133401882,30401882,0.29516390291262135
The Wolfman,103.0,"Drama,Fantasy,Horror",5.8,97873,150000000,62189884,142634358,-7365642,-0.04910428
Percy Jackson & the Olympians: The Lightning Thief,118.0,"Adventure,Family,Fantasy",5.9,165108,95000000,88768303,223050874,128050874,1.3479039368421053
A Ghost Story,92.0,"Drama,Fantasy,Romance",6.8,46280,100000,1594798,2769782,2669782,26.69782
Hansel & Gretel: Witch Hunters,88.0,"Action,Fantasy,Horror",6.1,183387,50000000,55703475,214949716,164949716,3.29899432
Wish Upon,90.0,"Drama,Fantasy,Horror",5.0,14962,12000000,14301505,23477345,11477345,0.9564454166666667
Percy Jackson: Sea of Monsters,106.0,"Adventure,Family,Fantasy",5.8,102313,90000000,68559554,200859554,110859554,1.2317728222222222
Beauty and the Beast,129.0,"Family,Fantasy,Musical",7.2,238325,160000000,504014165,1259199706,1099199706,6.8699981625
Beauty and the Beast,112.0,"Drama,Fantasy,Romance",6.4,18100,160000000,504014165,1259199706,1099199706,6.8699981625
Clash of the Titans,106.0,"Action,Adventure,Fantasy",5.8,256176,125000000,163214888,493214888,368214888,2.945719104
Justice League,120.0,"Action,Adventure,Fantasy",6.5,329135,300000000,229024295,655945209,355945209,1.18648403
The Warrior's Way,100.0,"Action,Fantasy,Western",6.3,24271,42000000,5666340,8514325,-33485675,-0.7972779761904762
Seventh Son,102.0,"Action,Adventure,Fantasy",5.5,66565,95000000,17725785,108874967,13874967,0.14605228421052632
The Tempest,110.0,"Comedy,Drama,Fantasy",5.4,7073,20000000,277943,277943,-19722057,-0.98610285
Oz the Great and Powerful,130.0,"Adventure,Family,Fantasy",6.3,192045,200000000,234770996,490359051,290359051,1.451795255
Mandy,121.0,"Action,Fantasy,Horror",6.6,44378,6000000,1214525,1427656,-4572344,-0.7620573333333334
Tomb Raider,119.0,"Action,Adventure,Fantasy",6.3,163560,90000000,58250803,273477501,183477501,2.0386389
Before I Fall,98.0,"Drama,Fantasy,Mystery",6.4,39282,5000000,12241072,18945682,13945682,2.7891364
Twixt,88.0,"Comedy,Fantasy,Horror",4.8,9774,7000000,0,1268346,-5731654,-0.8188077142857143
A Monster Calls,108.0,"Animation,Drama,Fantasy",7.5,70416,43000000,3740823,46414530,3414530,0.07940767441860465
Thor: The Dark World,112.0,"Action,Adventure,Fantasy",6.9,540996,150000000,206362140,644602516,494602516,3.297350106666667
Krampus,98.0,"Comedy,Fantasy,Horror",6.2,55400,15000000,42725475,61788393,46788393,3.1192262
Sucker Punch,110.0,"Action,Adventure,Fantasy",6.1,218371,75000000,36392502,89758389,14758389,0.19677852
The Nutcracker and the Four Realms,99.0,"Adventure,Family,Fantasy",5.5,18734,132900000,54858851,170293899,37393899,0.281368690744921
Underworld: Blood Wars,91.0,"Action,Adventure,Fantasy",5.8,62942,35000000,30353973,81209222,46209222,1.3202634857142856
Cinderella,105.0,"Drama,Family,Fantasy",6.9,142792,95000000,201151353,534551353,439551353,4.626856347368421
The Mummy,110.0,"Action,Adventure,Fantasy",5.5,154345,195000000,80101125,409953905,214953905,1.1023277179487179
Left Behind,110.0,"Action,Drama,Fantasy",3.1,33515,18500000,4221341,4221341,-14278659,-0.7718194054054054
