movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
The Belko Experiment,89.0,"Horror,Thriller",6.1,38378,5000000,10166820,11792942,6792942,1.3585884
Slender Man,93.0,"Horror,Mystery,Thriller",3.2,19650,10000000,30564825,51723644,41723644,4.1723644
13 Sins,93.0,"Horror,Thriller",6.3,29550,4000000,9134,47552,-3952448,-0.988112
Sinister 2,97.0,"Horror,Mystery,Thriller",5.3,41782,10000000,27740955,54104225,44104225,4.4104225
The Lazarus Effect,83.0,"Horror,Mystery,Sci-Fi",5.2,37675,5000000,25801570,38359310,33359310,6.671862
Tusk,102.0,"Comedy,Drama,Horror",5.3,40827,3000000,1821983,1887554,-1112446,-0.37081533333333333
The Wolfman,103.0,"Drama,Fantasy,Horror",5.8,97873,150000000,62189884,142634358,-7365642,-0.04910428
The Last Exorcism Part II,88.0,"Drama,Horror,Thriller",4.0,15124,4000000,15179303,25448707,21448707,5.36217675
Insidious: The Last Key,103.0,"Horror,Mystery,Thriller",5.7,42154,10000000,67745330,167885588,157885588,15.7885588
Hansel & Gretel: Witch Hunters,88.0,"Action,Fantasy,Horror",6.1,183387,50000000,55703475,214949716,164949716,3.29899432
Area 51,91.0,"Horror,Sci-Fi,Thriller",4.2,11537,5000000,7556,7556,-4992444,-0.9984888
The Awakening,102.0,"Horror,Thriller",6.5,60215,4900000,95933,6924321,2024321,0.41312673469387756
Jigsaw,92.0,"Crime,Horror,Mystery",5.8,57184,10000000,38052832,102445196,92445196,9.2445196
Green Room,95.0,"Horror,Music,Thriller",7.0,90773,5000000,3220371,3807503,-1192497,-0.2384994
The Witch,92.0,"Horror,Mystery",6.8,154278,3500000,25138705,40454520,36954520,10.558434285714286
Morgan,92.0,"Action,Horror,Sci-Fi",5.8,35487,8000000,3915251,7298786,-701214,-0.08765175
Wish Upon,90.0,"Drama,Fantasy,Horror",5.0,14962,12000000,14301505,23477345,11477345,0.9564454166666667
Silent House,86.0,"Drama,Horror,Mystery",5.3,20831,2000000,12739737,16610760,14610760,7.30538
The Green Inferno,100.0,"Adventure,Horror",5.3,33239,1000000,7192291,12931420,11931420,11.93142
Paranormal Activity: The Marked Ones,84.0,"Horror,Mystery,Thriller",5.0,37147,5000000,32462372,90904854,85904854,17.1809708
The Darkest Hour,89.0,"Action,Adventure,Horror",4.9,55071,34800000,21443494,62831715,28031715,0.8055090517241379
The Conjuring,112.0,"Horror,Mystery,Thriller",7.5,397233,20000000,137400141,318000141,298000141,14.90000705
Detention,93.0,"Comedy,Horror,Mystery",5.8,14221,10000000,0,0,-10000000,-1.0
Truth or Die,96.0,"Horror,Mystery",5.6,8123,1000000,0,0,-1000000,-1.0
Paranormal Activity 4,88.0,"Horror,Mystery,Thriller",4.6,58408,5000000,53900335,142817992,137817992,27.5635984
Fear Clinic,95.0,Horror,5.0,6256,1000000,0,0,-1000000,-1.0
Mandy,121.0,"Action,Fantasy,Horror",6.6,44378,6000000,1214525,1427656,-4572344,-0.7620573333333334
Bird Box,124.0,"Drama,Horror,Sci-Fi",6.6,218063,19800000,0,0,-19800000,-1.0
The Innkeepers,101.0,"Drama,Horror,Mystery",5.5,31089,750000,78396,1011535,261535,0.3487133333333333
Scouts Guide to the Zombie Apocalypse,93.0,"Action,Comedy,Horror",6.3,40479,15000000,3703046,15554855,554855,0.03699033333333333
Twixt,88.0,"Comedy,Fantasy,Horror",4.8,9774,7000000,0,1268346,-5731654,-0.8188077142857143
The Neon Demon,117.0,"Horror,Thriller",6.2,72359,7500000,1333124,3559803,-3940197,-0.5253596
Banshee Chapter,87.0,"Horror,Sci-Fi,Thriller",5.5,8219,950000,0,78122,-871878,-0.9177663157894737
The Disappointments Room,85.0,"Drama,Horror,Thriller",3.9,8167,15000000,2423467,3503761,-11496239,-0.7664159333333334
You're Next,95.0,"Action,Comedy,Horror",6.6,79451,1000000,18494006,26887177,25887177,25.887177
Oculus,104.0,"Horror,Mystery",6.5,106906,5000000,27695246,44115496,39115496,7.8230992
Bone Tomahawk,132.0,"Adventure,Drama,Horror",7.1,70298,2000000,0,475846,-1524154,-0.762077
Annabelle,99.0,"Horror,Mystery,Thriller",5.4,122039,6500000,84273813,256862920,250362920,38.517372307692305
Krampus,98.0,"Comedy,Fantasy,Horror",6.2,55400,15000000,42725475,61788393,46788393,3.1192262
Maggie,95.0,"Drama,Horror",5.6,38671,4500000,187112,1027760,-3472240,-0.7716088888888889
Nurse 3D,84.0,"Horror,Thriller",4.6,8768,10000000,0,0,-10000000,-1.0
Get Out,104.0,"Horror,Mystery,Thriller",7.7,400474,5000000,176040665,255367951,250367951,50.0735902
Final Destination 5,92.0,Horror,5.9,98061,40000000,42587643,155011165,115011165,2.875279125
The Collection,82.0,"Action,Horror,Thriller",6.1,42256,10000000,6810754,8890094,-1109906,-0.1109906
The Perfect Guy,100.0,"Crime,Drama,Horror",5.6,8998,18000000,57027435,60278166,42278166,2.348787
The Prodigy,92.0,"Horror,Thriller",5.9,11456,6000000,14856291,19789712,13789712,2.2982853333333333
Hush,82.0,"Horror,Thriller",6.6,79100,1000000,0,0,-1000000,-1.0
Happy Death Day,96.0,"Horror,Mystery,Thriller",6.5,87132,5000000,55683845,125010260,120010260,24.002052
Sinister,110.0,"Horror,Mystery,Thriller",6.8,198345,3000000,48086903,87727807,84727807,28.242602333333334
Alien: Covenant,122.0,"Horror,Sci-Fi,Thriller",6.4,226920,97000000,74262031,238521247,141521247,1.4589819278350515
Deliver Us from Evil,118.0,"Horror,Mystery,Thriller",6.2,63793,30000000,30577122,87956618,57956618,1.9318872666666667
"As Above, So Below",93.0,"Adventure,Horror,Mystery",6.2,66892,5000000,21222315,41824066,36824066,7.3648132
Flatliners,109.0,"Drama,Horror,Mystery",5.2,33752,26000000,61308153,61308153,35308153,1.3580058846153846
The Gallows,81.0,"Horror,Mystery,Thriller",4.2,17763,100000,22764410,41656474,41556474,415.56474
Crimson Peak,119.0,"Drama,Fantasy,Horror",6.5,119287,55000000,31090320,74966854,19966854,0.3630337090909091
I Spit on Your Grave,108.0,"Horror,Thriller",6.3,68592,1750000,93051,1278471,-471529,-0.2694451428571429
Scream 4,111.0,"Horror,Mystery",6.2,118779,40000000,38180928,95989590,55989590,1.39973975
Evil Dead,91.0,"Fantasy,Horror,Thriller",6.5,146399,17000000,54239856,97778356,80778356,4.751668
Cabin Fever,99.0,Horror,3.7,7873,1500000,21158188,30351664,28851664,19.234442666666666
The Bye Bye Man,96.0,"Drama,Fantasy,Horror",4.3,17743,7400000,22395806,31187727,23787727,3.214557702702703
The Crazies,101.0,"Horror,Thriller",6.5,104465,19000000,39123589,56445534,37445534,1.9708175789473685
Annabelle: Creation,109.0,"Horror,Mystery,Thriller",6.5,90402,15000000,102092201,305384865,290384865,19.358991
The Possession,92.0,"Horror,Mystery,Thriller",5.9,53649,14000000,49130588,82925064,68925064,4.9232188571428575
The Cabin in the Woods,95.0,Horror,7.0,338445,30000000,42073277,70689968,40689968,1.3563322666666666
Vamps,92.0,"Comedy,Horror,Romance",5.2,8838,16000000,3361,94812,-15905188,-0.99407425
Under the Skin,108.0,"Drama,Horror,Sci-Fi",6.3,113196,13300000,2614251,7229933,-6070067,-0.45639601503759397
The Other Side of the Door,96.0,Horror,5.3,15813,5000000,3000342,12905107,7905107,1.5810214
Annihilation,115.0,"Adventure,Drama,Horror",6.9,228664,55000000,32732301,43070915,-11929085,-0.21689245454545455
Unsane,98.0,"Drama,Horror,Mystery",6.4,32049,1500000,7690044,14244931,12744931,8.496620666666667
Poltergeist,93.0,"Horror,Thriller",4.9,51538,35000000,47425125,95713069,60713069,1.7346591142857142
Dark Shadows,113.0,"Comedy,Fantasy,Horror",6.2,229818,150000000,79727149,238202668,88202668,0.5880177866666667
It,135.0,"Horror,Thriller",7.4,359123,35000000,327481748,697457969,662457969,18.927370542857144
Insidious,103.0,"Horror,Mystery,Thriller",6.9,254197,1500000,54009150,99870886,98370886,65.58059066666667
The Shallows,86.0,"Drama,Horror,Thriller",6.3,106927,13000000,55121623,118763442,105763442,8.135649384615384
Unfriended: Dark Web,92.0,"Crime,Horror,Mystery",5.9,13822,1000000,8866745,16434588,15434588,15.434588
The Meg,113.0,"Action,Horror,Sci-Fi",5.7,114042,178000000,145443742,529530715,351530715,1.9748916573033708
The Rite,114.0,"Drama,Horror,Mystery",6.0,85604,37000000,33047633,97143987,60143987,1.6255131621621621
Let Me In,116.0,"Drama,Fantasy,Horror",7.1,107012,20000000,12134935,28270399,8270399,0.41351995
The Strangers: Prey at Night,85.0,Horror,5.2,21614,5000000,24431472,29960051,24960051,4.9920102
The Call,94.0,"Crime,Drama,Horror",6.7,103780,12800000,51872378,69821476,57021476,4.4548028125
The Invitation,100.0,"Drama,Horror,Mystery",6.7,70213,1000000,231738,354836,-645164,-0.645164
The Purge: Anarchy,103.0,"Action,Horror,Sci-Fi",6.5,126203,9000000,71562550,111534881,102534881,11.392764555555555
Happy Death Day 2U,100.0,"Drama,Horror,Mystery",6.3,27462,9000000,28051045,64179495,55179495,6.131055
World War Z,116.0,"Action,Adventure,Horror",7.0,553751,190000000,202359711,531514650,341514650,1.7974455263157896
Stitches,86.0,"Comedy,Horror",5.7,8214,2000000,0,63555,-1936445,-0.9682225
It Follows,100.0,"Horror,Mystery",6.9,182839,2000000,14674077,23250755,21250755,10.6253775
The Forest,93.0,"Horror,Mystery,Thriller",4.8,36423,10000000,26594261,40749230,30749230,3.074923
Pet Sematary,101.0,"Horror,Mystery,Thriller",6.0,34472,21000000,54724696,109501146,88501146,4.214340285714286
Paranormal Activity: The Ghost Dimension,88.0,"Horror,Mystery,Thriller",4.6,22361,10000000,18297124,77959374,67959374,6.7959374
Devil's Due,89.0,"Horror,Mystery,Thriller",4.1,15502,7000000,15821461,36146087,29146087,4.163726714285715
The Visit,94.0,"Horror,Mystery,Thriller",6.2,102459,5000000,65206105,98677816,93677816,18.7355632
Resident Evil: Afterlife,96.0,"Action,Adventure,Horror",5.9,153270,57500000,60128566,295874190,238374190,4.145638086956522
Halloween,106.0,"Horror,Thriller",6.6,88395,15000000,58269151,77514401,62514401,4.167626733333333
Shark Night 3D,90.0,"Horror,Thriller",4.0,23190,25000000,18877153,18877153,-6122847,-0.24491388
Unfriended,83.0,"Horror,Mystery,Thriller",5.6,62043,1000000,32789645,64364198,63364198,63.364198
Fright Night,106.0,"Comedy,Horror",6.4,94555,30000000,18298649,40520649,10520649,0.3506883
Ouija: Origin of Evil,99.0,"Drama,Horror,Mystery",6.1,47099,9000000,35144505,81831866,72831866,8.092429555555556
Split,117.0,"Horror,Thriller",7.3,358543,5000000,138141585,278964806,273964806,54.7929612
Freaks of Nature,92.0,"Comedy,Horror,Sci-Fi",5.9,9670,33000000,70958,70958,-32929042,-0.9978497575757576
Black Rock,83.0,"Horror,Thriller",4.8,7596,1000000,0,0,-1000000,-1.0
Escape from Tomorrow,90.0,"Drama,Fantasy,Horror",5.2,8665,650000,171962,171962,-478038,-0.735443076923077
Us,116.0,"Horror,Mystery,Thriller",7.1,102511,20000000,175006930,254210310,234210310,11.7105155
Blair Witch,89.0,"Horror,Mystery,Thriller",5.0,36867,10000000,20777061,38985577,28985577,2.8985577
A Quiet Place,90.0,"Drama,Horror,Sci-Fi",7.6,305031,17000000,188024361,334522294,317522294,18.677782
Suspiria,152.0,"Fantasy,Horror,Mystery",6.8,37360,20000000,2483472,7034615,-12965385,-0.64826925
Resident Evil: The Final Chapter,107.0,"Action,Horror,Sci-Fi",5.6,74979,40000000,26844692,314101190,274101190,6.85252975
Friend Request,92.0,"Horror,Thriller",5.3,21704,9900000,3759078,11310835,1410835,0.14250858585858586
