id_x,movie,production_budget,domestic_gross,worldwide_gross,total_gross,net_revenue,original_language,popularity,release_date_y,vote_average,vote_count,start_year,runtime_minutes,genres,imdb_averagerating,imdb_numvotes
89,Annie,65000000,85911262,139829625,225740887,160740887,en,13.422,2014-12-19,6.1,770,2014,118.0,"Comedy,Drama,Family",5.3,31241
94,The Kid,65000000,69688384,69688384,139376768,74376768,en,2.403,2010-10-31,6.9,12,2010,111.0,Drama,6.9,1206
96,The Dictator,65000000,59650222,180148897,239799119,174799119,en,12.592,2012-05-16,6.0,3042,2012,83.0,Comedy,6.4,250976
98,This Means War,65000000,54760791,156974557,211735348,146735348,en,12.017,2012-02-17,6.0,2096,2012,103.0,"Action,Comedy,Romance",6.3,167438
99,Focus,65000000,53862963,168065700,221928663,156928663,en,10.704,2015-02-27,6.8,4173,2015,105.0,"Comedy,Crime,Drama",6.6,192147
1,Red Dawn,65000000,44806783,48164150,92970933,27970933,en,13.904,2012-11-21,5.4,849,2012,93.0,"Action,Sci-Fi,Thriller",5.4,69599
3,Everest,65000000,43482270,221297061,264779331,199779331,en,19.9,2015-09-18,6.7,2874,2015,121.0,"Action,Adventure,Biography",7.1,181133
4,Resident Evil: Retribution,65000000,42345531,240647629,282993160,217993160,en,1.325,2012-09-14,5.7,2321,2012,95.0,"Action,Horror,Sci-Fi",5.4,125191
12,Elektra,65000000,24409722,56824633,81234355,16234355,en,0.6,2017-09-09,8.0,1,2010,,"Drama,Thriller",6.1,64
14,"I, Frankenstein",65000000,19075290,74575290,93650580,28650580,en,12.7,2014-01-24,5.2,1090,2014,92.0,"Action,Fantasy,Horror",5.1,74910
16,Sin City: A Dame to Kill For,65000000,13757804,40650842,54408646,-10591354,en,20.896,2014-08-22,6.3,2210,2014,102.0,"Crime,Thriller",6.5,140666
17,Live by Night,65000000,10378555,21774432,32152987,-32847013,en,11.322,2016-12-25,6.2,759,2016,129.0,"Action,Crime,Drama",6.4,47243
21,Air Strike,65000000,0,516279,516279,-64483721,en,6.971,2018-10-26,3.9,56,2018,120.0,"Action,Adventure,Drama",3.3,2536
27,Hop,63000000,108085305,188657593,296742898,233742898,en,14.738,2011-04-01,5.6,611,2011,95.0,"Adventure,Animation,Comedy",5.4,28893
28,American Assassin,63000000,36249674,68310140,104559814,41559814,en,15.434,2017-09-15,6.3,1596,2017,112.0,"Action,Thriller",6.2,57793
33,The Hateful Eight,62000000,54117416,147864886,201982302,139982302,en,20.681,2015-12-25,7.7,8065,2015,168.0,"Crime,Drama,Mystery",7.8,434966
36,Gone Girl,61000000,167767189,368567189,536334378,475334378,en,31.215,2014-10-03,7.9,10459,2014,149.0,"Drama,Mystery,Thriller",8.1,761592
38,Maze Runner: The Scorch Trials,61000000,81697192,310566162,392263354,331263354,en,17.31,2015-09-18,6.6,6365,2015,131.0,"Action,Sci-Fi,Thriller",6.3,201143
39,2 Guns,61000000,75612460,132493015,208105475,147105475,en,14.8,2013-08-02,6.5,2368,2013,109.0,"Action,Comedy,Crime",6.7,182025
44,The Lego Movie,60000000,257784718,457729388,715514106,655514106,en,19.375,2014-02-07,7.4,4839,2014,100.0,"Action,Adventure,Animation",7.8,304179
50,Sully,60000000,125070033,238524556,363594589,303594589,en,18.148,2016-09-09,7.1,3924,2016,96.0,"Biography,Drama",7.5,202718
63,Red,60000000,90380162,196439693,286819855,226819855,en,0.6,2014-01-01,5.0,1,2014,,Thriller,5.8,9
67,Eat Pray Love,60000000,80574010,206598789,287172799,227172799,en,9.991,2010-08-12,6.0,1208,2010,133.0,"Drama,Romance",5.8,77709
68,Jack Reacher,60000000,80070736,217370736,297441472,237441472,en,18.312,2012-12-21,6.4,4155,2012,130.0,"Action,Crime,Thriller",7.0,284547
71,Contagion,60000000,75658097,137551594,213209691,153209691,en,10.444,2011-09-09,6.3,2128,2011,106.0,"Action,Drama,Thriller",6.6,201536
80,London Has Fallen,60000000,62524260,195194085,257718345,197718345,en,15.287,2016-03-04,5.9,2591,2016,99.0,"Action,Thriller",5.9,124757
85,Jack Reacher: Never Go Back,60000000,58697076,159946489,218643565,158643565,en,17.085,2016-10-21,5.6,2831,2016,118.0,"Action,Thriller",6.1,121892
86,Baywatch,60000000,58060186,175863783,233923969,173923969,en,14.429,2017-05-26,6.1,4748,2017,116.0,"Action,Comedy,Crime",5.6,137528
88,Joy,60000000,56451232,101134059,157585291,97585291,en,10.305,2015-12-25,6.5,2723,2010,75.0,Drama,6.1,233
89,ParaNorman,60000000,56003051,108119662,164122713,104122713,en,13.32,2012-08-17,6.8,1358,2012,92.0,"Adventure,Animation,Comedy",7.0,87250
94,The Boxtrolls,60000000,50837305,111946251,162783556,102783556,en,11.219,2014-09-26,6.7,1016,2014,96.0,"Adventure,Animation,Comedy",6.8,50763
95,The Dark Tower,60000000,50701325,113461527,164162852,104162852,en,15.517,2017-08-04,5.6,2842,2017,95.0,"Action,Adventure,Fantasy",5.7,107518
97,Jack Ryan: Shadow Recruit,60000000,50577412,131377412,181954824,121954824,en,11.061,2014-01-17,6.1,1687,2014,105.0,"Action,Drama,Thriller",6.2,114913
100,Vice,60000000,47836282,70883171,118719453,58719453,en,14.641,2015-01-16,4.3,312,2015,96.0,"Action,Adventure,Sci-Fi",4.2,14436
4,Gangster Squad,60000000,46000903,104100903,150101806,90101806,en,13.029,2013-01-11,6.3,2527,2013,113.0,"Action,Crime,Drama",6.7,195560
5,Smurfs: The Lost Village,60000000,45020282,197578586,242598868,182598868,en,15.663,2017-04-07,6.2,736,2017,90.0,"Adventure,Animation,Comedy",6.0,15612
6,First Man,60000000,44936545,105203825,150140370,90140370,en,22.958,2018-10-12,7.1,2304,2018,141.0,"Biography,Drama,History",7.4,120009
8,Edge of Darkness,60000000,43313890,82812456,126126346,66126346,en,11.252,2010-01-29,6.3,794,2010,117.0,"Crime,Drama,Mystery",6.6,84753
15,State of Play,60000000,37017955,88832210,125850165,65850165,en,0.6,2013-09-09,6.0,3,2013,87.0,"Documentary,Drama,Sport",6.5,156
18,Trouble with the Curve,60000000,35763137,47818913,83582050,23582050,en,8.548,2012-09-21,6.7,613,2012,111.0,"Drama,Sport",6.8,56129
22,Almost Famous,60000000,32522352,47371191,79893543,19893543,en,11.022,2000-09-15,7.5,1339,2017,95.0,"Comedy,Drama,Family",4.1,23
26,The Mortal Instruments: City of Bones,60000000,31165421,75965567,107130988,47130988,en,16.484,2013-08-21,6.3,2915,2013,130.0,"Action,Fantasy,Horror",5.9,121936
